Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8
Con,Sir Oliver Letwin,West Dorset,Leave,51,For,Against,Against,For,Against,Against,Against,For
Lab,Emma Lewell-Buck,South Shields,Leave,62,For,Against,For,Abstain,Abstain,Against,Against,Abstain
Con,Andrew Lewer,Northampton South,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Con,Brandon Lewis,Great Yarmouth,Leave,72,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Clive Lewis,Norwich South,Remain,60,For,For,For,Against,For,Against,Against,Against
Ind,Ivan Lewis,Bury South,Leave,55,For,Against,For,For,Abstain,Against,Against,Against
Con,Julian Lewis,New Forest East,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Con,Ian Liddell-Grainger,Bridgwater and West Somerset,Leave,62,Against,Against,Against,Against,Against,For,Against,Against
Con,David Lidington,Aylesbury,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,David Linden,Glasgow East,Remain,56,Abstain,For,Abstain,Abstain,For,Against,Against,Against
DUP,Emma Little Pengelly,Belfast South,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Ind,Stephen Lloyd,Eastbourne,Leave,58,For,Abstain,For,For,For,Against,Against,For
Lab,Tony Lloyd,Rochdale,Leave,57,For,For,For,For,Abstain,Against,Against,Against
Lab,Rebecca Long Bailey,Salford and Eccles,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain
Con,Julia Lopez,Hornchurch and Upminster,Leave,69,Against,Against,Against,Against,Against,For,For,Against
Con,Jack Lopresti,Filton and Bradley Stoke,Remain,52,Against,Against,Against,Against,Against,For,Against,Against
Con,Jonathan Lord,Woking,Remain,56,Against,Against,Against,Against,Against,For,For,Against
Con,Tim Loughton,East Worthing and Shoreham,Leave,54,Against,Against,Against,Against,Against,For,For,Against
Grn,Caroline Lucas,Brighton - Pavilion,Remain,74,Against,For,Against,Against,For,Against,Against,Against
Lab,Ian C. Lucas,Wrexham,Leave,57,For,For,For,For,Against,Against,Against,Against
Lab,Holly Lynch,Halifax,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Steve McCabe,Birmingham - Selly Oak,Remain,53,For,For,For,For,Abstain,Against,Against,Abstain
SF,Elisha McCallion,Foyle,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Kerry McCarthy,Bristol East,Remain,53,For,For,For,Against,For,Against,Against,Against
Lab,Siobhain McDonagh,Mitcham and Morden,Remain,55,Against,For,Against,Against,For,Against,Against,Against
Lab,Andy McDonald,Middlesbrough,Leave,66,For,For,For,For,Abstain,Against,Abstain,Abstain
SNP,Stewart Malcolm McDonald,Glasgow South,Remain,72,Abstain,For,Abstain,Abstain,For,Against,Against,Against
SNP,Stuart C. McDonald,Cumbernauld - Kilsyth and Kirkint...,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,John McDonnell,Hayes and Harlington,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Pat McFadden,Wolverhampton South East,Leave,68,For,For,For,Abstain,Abstain,Against,Against,Against
Lab,Conor McGinn,St Helens North,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Alison McGovern,Wirral South,Remain,53,For,For,For,Abstain,Abstain,Against,Against,Against
Lab,Liz McInnes,Heywood and Middleton,Leave,62,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Craig Mackinlay,South Thanet,Leave,62,Against,Against,Against,Against,Against,For,For,Against
Lab,Catherine McKinnell,Newcastle upon Tyne North,Leave,57,For,For,For,Abstain,For,Against,Against,Against
Con,Rachel Maclean,Redditch,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Sir Patrick McLoughlin,Derbyshire Dales,Leave,51,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Jim McMahon,Oldham West and Royton,Leave,61,For,Abstain,For,For,Abstain,Against,Against,Abstain
Lab,Anna McMorrin,Cardiff North,Remain,61,Against,For,For,Against,For,Against,Against,Against
SNP,John McNally,Falkirk,Remain,58,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Angus Brendan MacNeil,Na h-Eileanan an Iar,Remain,56,Abstain,Abstain,Abstain,Abstain,For,Against,Against,Against
Con,Stephen McPartland,Stevenage,Leave,57,Against,Against,Against,Against,Against,For,For,Against
Con,Esther McVey,Tatton,Remain,54,Against,Against,Against,Against,Against,For,For,Against
Lab,Justin Madders,Ellesmere Port and Neston,Leave,58,For,Against,For,For,Abstain,Against,Against,Against
Lab,Khalid Mahmood,Birmingham - Perry Barr,Leave,51,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Shabana Mahmood,Birmingham - Ladywood,Remain,64,For,For,For,For,For,Against,Against,Against
Con,Anne Main,St Albans,Remain,62,Against,Against,Against,Against,Against,For,For,Against
Con,Alan Mak,Havant,Leave,62,Against,Against,Against,Against,Against,For,For,Against
Lab,Seema Malhotra,Feltham and Heston,Leave,56,For,For,For,For,Abstain,Against,Against,Against
Con,Kit Malthouse,North West Hampshire,Leave,55,Against,Against,Against,Against,Against,For,For,Against
Lab,John Mann,Bassetlaw,Leave,68,Against,Against,For,Against,Against,Against,Against,Against
Con,Scott Mann,North Cornwall,Leave,60,Against,Against,Against,Against,Against,For,For,For
Lab,Gordon Marsden,Blackpool South,Leave,68,For,For,For,For,Against,Against,Against,Against
Lab,Sandy Martin,Ipswich,Leave,57,For,For,For,For,For,Against,Against,Against
Lab,Rachael Maskell,York Central,Remain,61,For,For,For,Against,For,Against,Against,Against
SF,Paul Maskey,Belfast West,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Paul Masterton,East Renfrewshire,Remain,74,For,Against,Against,For,Abstain,Against,Against,For
Lab,Christian Matheson,City of Chester,Remain,57,For,For,For,Against,For,Against,Against,Against
Con,Theresa May,Maidenhead,Remain,55,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Paul Maynard,Blackpool North and Cleveleys,Leave,67,Against,Against,Against,Against,Against,For,For,Against
Lab,Ian Mearns,Gateshead,Leave,56,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Mark Menzies,Fylde,Leave,57,Against,Against,Against,Against,Against,For,Against,Against
Con,Johnny Mercer,Plymouth - Moor View,Leave,66,Against,Against,Against,Against,Against,For,Against,Against
Con,Huw Merriman,Bexhill and Battle,Leave,58,Against,For,Against,Against,Against,For,Against,Against
Con,Stephen Metcalfe,South Basildon and East Thurrock,Leave,73,Against,Against,Against,Against,Against,For,For,Against
Lab,Edward Miliband,Doncaster North,Leave,72,For,For,For,For,Abstain,Against,Against,Abstain
Con,Maria Miller,Basingstoke,Leave,54,Against,Against,Against,Against,Against,For,For,Against
Con,Amanda Milling,Cannock Chase,Leave,69,Against,Against,Against,Against,Against,For,Abstain,Against
Con,Nigel Mills,Amber Valley,Leave,65,Against,Against,Against,Against,Against,For,For,Against
Con,Anne Milton,Guildford,Remain,59,For,Abstain,Against,Abstain,Abstain,Against,Against,Abstain
Con,Andrew Mitchell,Sutton Coldfield,Leave,52,For,Against,Against,Abstain,Against,For,For,Abstain
SF,Francie Molloy,Mid Ulster,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Carol Monaghan,Glasgow North West,Remain,69,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Madeleine Moon,Bridgend,Remain,50,For,For,For,Against,For,Against,Against,Against
Con,Damien Moore,Southport,Remain,54,Against,Against,Against,Against,Against,Against,Against,Against
LD,Layla Moran,Oxford West and Abingdon,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Con,Penny Mordaunt,Portsmouth North,Leave,64,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Jessica Morden,Newport East,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Nicky Morgan,Loughborough,Remain,50,For,Against,Against,For,Against,Against,Against,For
Lab,Stephen Morgan,Portsmouth South,Leave,52,For,For,For,Against,For,Against,Against,Against
Con,Anne Marie Morris,Newton Abbot,Leave,56,Against,Against,Against,Against,Against,For,Against,Against
Con,David Morris,Morecambe and Lunesdale,Leave,59,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Grahame Morris,Easington,Leave,67,Against,Against,For,Against,Against,Against,Against,Against
Con,James Morris,Halesowen and Rowley Regis,Leave,66,Against,Against,Against,Against,Against,For,Against,Against
Con,Wendy Morton,Aldridge-Brownhills,Leave,68,Against,Against,Against,Against,Against,For,Against,Against
Con,David Mundell,Dumfriesshire - Clydesdale and Tw...,Remain,56,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Ian Murray,Edinburgh South,Remain,78,For,For,Abstain,For,For,Against,Against,Against
Con,Sheryll Murray,South East Cornwall,Leave,55,Against,Against,Against,Against,Against,For,For,Against
Con,Andrew Murrison,South West Wiltshire,Leave,58,Against,Against,Against,Against,Against,For,Abstain,Abstain
Lab,Lisa Nandy,Wigan,Leave,63,For,Abstain,For,For,For,Against,Abstain,Abstain
Con,Robert Neill,Bromley and Chislehurst,Remain,50,For,Against,Against,For,Against,Against,Against,For
SNP,Gavin Newlands,Paisley and Renfrewshire North,Remain,64,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Sarah Newton,Truro and Falmouth,Remain,54,For,Abstain,Against,Abstain,Abstain,Against,Against,For
Con,Caroline Nokes,Romsey and Southampton North,Remain,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Jesse Norman,Hereford and South Herefordshire,Leave,60,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Alex Norris,Nottingham North,Leave,64,For,For,For,For,Abstain,Against,Against,Abstain
Con,Neil O'Brien,Harborough,Leave,52,Against,Against,Against,Against,Against,For,Abstain,Against
Con,Matthew Offord,Hendon,Remain,58,Against,Against,Against,Against,Against,For,For,Against
SNP,Brendan O'Hara,Argyll and Bute,Remain,61,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Ind,Jared O'Mara,Sheffield - Hallam,Remain,64,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Ind,Fiona Onasanya,Peterborough,Leave,61,Against,For,Abstain,For,Abstain,Against,Against,Against
Lab,Melanie Onn,Great Grimsby,Leave,71,For,Against,For,For,Abstain,Against,Abstain,Abstain
Lab,Chi Onwurah,Newcastle upon Tyne Central,Remain,52,For,For,For,For,For,Against,Against,Against
Con,Guy Opperman,Hexham,Remain,55,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Kate Osamor,Edmonton,Remain,54,For,For,For,Against,For,Against,Against,Against
Lab,Albert Owen,Ynys Môn,Leave,51,For,For,For,For,For,Against,Against,Abstain
DUP,Ian Paisley,North Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Con,Neil Parish,Tiverton and Honiton,Leave,58,Against,Against,Against,Abstain,Against,For,For,For
Con,Priti Patel,Witham,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Owen Paterson,North Shropshire,Leave,59,Against,Against,Against,Against,Against,For,For,Against
Con,Mark Pawsey,Rugby,Leave,58,For,Against,Against,For,Against,Against,Against,For
Lab,Stephanie Peacock,Barnsley East,Leave,71,For,Against,For,For,Abstain,Against,Against,Abstain
Lab,Teresa Pearce,Erith and Thamesmead,Leave,54,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Sir Mike Penning,Hemel Hempstead,Leave,55,Against,Against,Against,Against,Against,For,Against,Against
Lab,Matthew Pennycook,Greenwich and Woolwich,Remain,64,For,For,For,For,For,Against,Against,Against
Con,John Penrose,Weston-super-Mare,None,None,Against,Against,Against,For,Against,For,For,For
Con,Andrew Percy,Brigg and Goole,Leave,66,Against,Against,Against,For,Against,For,For,For
